"Label","Estimate","SE","RSE"
"OFV","7665.50","-","-"
"AIC","7679.50","-","-"
"CL_L/h","0.01","0.00","5.70"
"V1_L","4.36","0.16","3.60"
"V2_L","2.00","0.19","9.60"
"IIV CL","47.07","9.20","19.50"
"IIV V1","22.84","2.46","10.80"
"IIV Q","0.00","-","-"
"IIV V2","0.00","-","-"
"Q_L/h","0.02","0.00","8.40"
"Prop.RE (sd)","0.14","0.01","8.80"
"Add.RE (sd)","0.00","-","-"
